KP,Location,D_o,h,sigma_y,t_corr,f_tol,E,v,f_0
0,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
2,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
3,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
4,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
5,seabed,0.2,119,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
6,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
7,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
8,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
9,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
10,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
11,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
12,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
13,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
14,seabed,0.2,87,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
15,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
16,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
17,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
18,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
19,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
20,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
21,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
22,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
23,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
24,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
25,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
26,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
27,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
28,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
29,seabed,0.2,145,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
30,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
31,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
32,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
33,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
34,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
35,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
36,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
37,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
38,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
39,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
40,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
41,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
42,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
43,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
44,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
45,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
